Year,Month,Day,Hour,Minute,Occupancy
2018,1,30,8,34,Empty
2018,2,14,13,13,Occupied
2018,2,14,13,43,Empty
2018,2,14,14,1,Empty
2018,2,14,14,25,Empty
2018,2,14,14,44,Empty
2018,2,14,14,56,Empty
2018,2,14,16,8,Empty
2018,2,7,2,20,Empty
2018,2,7,4,11,Empty
2018,1,20,7,48,Empty
2018,1,20,10,1,Empty
2018,2,17,8,27,Empty
2018,2,17,9,22,Empty
2018,2,17,9,52,Empty
2018,2,6,18,13,Occupied
2018,2,6,18,54,Occupied
2018,1,27,14,47,Empty
2018,1,27,15,11,Empty
2018,1,27,15,41,Empty
2018,1,27,18,24,Occupied
2018,1,27,18,36,Occupied
2018,2,16,6,7,Empty
2018,2,16,6,50,Empty
2018,1,22,8,46,Empty
2018,1,24,0,24,Empty
2018,1,28,16,9,Empty
2018,1,19,11,24,Occupied
2018,2,16,14,22,Empty
2018,2,16,16,11,Empty
2018,1,30,0,5,Empty
2018,1,6,19,19,Empty
2018,1,6,19,55,Empty
2018,1,6,20,35,Empty
2018,1,6,23,48,Empty
2018,1,6,23,53,Occupied
2018,1,7,0,54,Empty
2018,1,7,1,26,Empty
2018,1,6,16,48,Empty
2018,1,6,18,1,Empty
2018,1,6,20,24,Empty
2018,1,6,20,29,Occupied
2018,1,6,20,41,Empty
2018,1,6,20,48,Empty
2018,1,6,22,7,Occupied
2018,1,30,6,34,Empty
2018,1,30,7,51,Empty
2018,1,13,9,13,Empty
2018,1,13,11,38,Occupied
2018,1,12,10,6,Occupied
2018,1,12,10,12,Empty
2018,1,12,10,54,Empty
2018,1,14,8,14,Empty
2018,1,14,10,27,Empty
2018,1,14,10,34,Empty
2018,2,8,10,35,Empty
2018,1,20,12,37,Occupied
2018,1,20,13,4,Occupied
2018,1,20,14,15,Empty
2018,1,20,14,49,Occupied
2018,1,23,3,34,Empty
2018,1,23,3,44,Empty
2018,1,23,5,2,Empty
2018,2,11,14,10,Empty
2018,2,11,14,27,Empty
2018,2,11,16,12,Occupied
2018,2,11,16,52,Occupied
2018,1,5,13,37,Occupied
2018,1,5,13,42,Occupied
2018,1,5,13,48,Empty
2018,1,5,14,5,Empty
2018,2,15,6,2,Empty
2018,2,15,6,33,Empty
2018,2,15,6,54,Empty
2018,2,15,7,0,Empty
2018,2,15,7,19,Empty
2018,2,15,7,37,Empty
2018,1,30,10,23,Empty
2018,2,7,19,5,Empty
2018,2,7,20,17,Occupied
2018,2,14,9,49,Empty
2018,2,14,10,7,Empty
2018,1,30,1,51,Empty
2018,1,30,2,34,Empty
2018,1,30,3,51,Empty
2018,1,30,3,59,Empty
2018,1,30,4,40,Empty
2018,2,13,11,1,Occupied
2018,1,29,3,59,Empty
